,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,12282.85609,3863.054466,35043.20941,26272.84308,46790.63993,51679.02723,35872.94143,81939.30254,6957.818214,13576.61484,23707.169,31166.9362,45742.88409,18197.37451,10846.83792,19962.66287,49941.30355,10788.51652,30145.48173,52142.38793,40612.83762,43550.85236,53125.80609,35146.89213,39771.1541,22063.14244,27646.48488,30067.13804,59041.44837,29405.52162,44619.1162,37320.18034,29832.25505,46523.73392,43665.69387,82951.52455,62281.58745,73699.66546,114069.8094,97554.41778,48838.54403,60286.10006,43925.52163,57467.04551,62932.91847,57999.77649,70140.45983,42878.63925,53638.92673,42793.85625,31040.53506,64843.31563,31176.69718,94637.08872,44750.28806,34155.9583,45366.11576,28169.33155,30961.88848,21441.28157,21651.51539,37827.38865,45387.72404,13835.39509,31986.7331,14535.37694,22946.90353,34904.77696,11436.72695,54790.93724,8219.237671,22477.29986,14217.95761,9277.343932,37799.8568,12931.71351,2711.434635,24025.38842,37116.43278,60309.80947,24234.11485,12689.15825,56115.81273,3405.784158,55777.32177,53035.90208,73756.70931
SECOND WARD,12282.85609,0,3667.214526,12796.67819,37972.66158,53677.64558,37677.06819,21557.74274,93527.75699,17750.46861,3635.765862,5355.143889,12792.00257,25043.2664,27737.13434,16490.39899,14178.56459,41891.86342,8940.362679,40371.45327,62904.19849,23341.4308,54535.43576,36999.6657,22010.77811,50018.39744,25680.75962,34254.79005,22416.48846,70037.73514,26058.79207,32384.05774,42819.46135,30179.32908,50823.92715,37904.07545,89500.72883,63429.36104,70664.38492,108133.0291,84742.32356,57392.57724,72709.41878,55356.69885,68601.47858,69066.42832,66096.51937,53760.50472,39085.0574,63226.63056,46745.78944,29584.7607,76257.34617,14677.67197,76514.76844,53228.78206,42069.35649,55936.04758,33237.58665,23527.18857,25489.11677,17317.01271,21089.57549,26142.022,19478.32666,43469.44526,12761.77209,10010.10705,14812.6333,20436.87143,66539.56768,14636.58216,5173.135676,25660.02124,7051.544754,49510.07174,2022.532099,9263.657801,32356.04067,46634.42319,42660.88472,3508.112174,24329.28619,67706.13349,14798.41145,67166.30467,64044.1288,84697.25279
DOWNTOWN,3863.054466,3667.214526,0,25706.20124,29885.51799,47979.82563,43090.29772,27016.09766,85521.88124,10436.56682,4699.09246,14104.28596,22763.97821,35853.72011,21353.92234,10903.79657,12560.40887,43404.11733,5663.810663,33627.86788,55674.14603,30737.49498,47138.12649,44451.30201,26136.94302,42863.52067,20715.61965,28537.35186,21960.69329,62328.98467,23834.43324,35702.85739,37483.98181,26799.42111,45125.74837,36496.65981,83882.46721,59921.3249,68524.14711,107325.1234,88805.88253,51404.05541,63873.62662,47510.63788,60998.26311,64733.57678,60686.90404,61194.41754,37630.47264,56780.3905,42908.40383,26733.69881,68428.88709,23133.79115,85504.65496,47509.99591,36685.4462,48748.84896,29109.86768,24265.7903,21445.52789,17162.45008,30143.14319,36094.89586,14525.41704,35566.21404,10168.35006,13922.81243,25488.90102,14014.20063,58423.85577,8728.738477,14101.92552,17748.34195,3573.933618,41408.29928,4134.173258,2797.550913,26610.97937,40195.81966,51181.64953,15025.70262,16259.81794,59655.33768,6755.565309,59345.45378,56726.53237,77441.99112
CLINTON PARK TRI-COMMUNITY,35043.20941,12796.67819,25706.20124,0,60645.81201,73257.81616,31711.75116,19457.23857,115254.475,39864.71497,16346.17042,5037.801618,2285.172033,8897.704546,49731.61875,37192.53566,18569.52717,40897.21494,28172.13227,62434.26729,84641.23427,14164.97677,76458.70997,23725.04108,18388.3909,70520.08746,43816.85964,54617.61274,21909.77976,90656.63237,33302.93118,21970.01548,60810.45793,43343.07801,64218.85554,35207.59258,107292.7098,71928.26299,69020.34533,98290.29738,70983.79806,78510.96336,93670.22735,75563.84999,88938.95017,81888.89025,82310.75365,42845.45027,42449.40616,81302.08806,57660.37016,37220.77625,96351.07963,11080.48181,61574.64333,70536.63361,59314.76441,75236.92659,49016.97237,28148.34632,40760.14712,26737.99308,12019.99181,11298.31408,38148.40716,63801.89039,27356.70727,17326.39977,5171.572022,39985.0868,87796.12337,35516.93357,10328.5545,46522.33138,23629.5525,70859.1963,16250.45815,31459.14353,50514.24533,65062.88017,32617.7916,4946.673585,45964.25514,89439.98968,37331.69978,89289.08373,86235.23239,106854.1109
GREATER UPTOWN,26272.84308,37972.66158,29885.51799,60645.81201,0,30074.19988,65405.80636,53314.746,43587.35532,5601.306248,37956.53743,48570.23844,57972.55669,70308.16918,12496.09316,18366.88294,40236.18531,58477.56245,32409.89275,6618.680698,21722.60797,63550.45912,13793.8803,78123.46669,59189.18825,20043.50082,27902.53644,17293.25769,47401.77918,31233.02889,42042.63558,63555.30863,28145.50899,35045.89871,44565.09112,57152.06208,64480.30911,57513.87462,77564.81329,121394.4128,112285.8064,23748.8293,33043.37719,12452.4859,29501.64686,47044.41593,40871.66156,86733.19872,50801.13686,28081.67992,35141.59242,38714.65544,30437.74639,54477.01352,112386.9341,29163.5564,24248.08192,20004.36085,28175.14161,44657.62038,27496.49053,35740.85639,61190.72168,67571.15314,26586.73454,7667.73135,30732.2047,43859.64334,59347.5869,18529.2969,20015.06735,27307.47845,46522.30358,8288.861121,30773.52711,3618.839753,37643.22964,26687.18123,18324.99978,19560.53819,78645.22798,49671.72091,4420.038918,18956.82417,18496.82784,18936.88702,19395.24,39642.79993
GREATER INWOOD,46790.63993,53677.64558,47979.82563,73257.81616,30074.19988,0,96145.07833,80410.47935,61456.19576,29242.34464,47590.62001,57557.88491,62986.12336,75069.62543,19321.90108,25745.75444,43616.58839,92818.81128,35310.3051,15721.83595,19053.09049,65979.27803,14596.97663,78566.89404,59777.61348,11064.24291,20769.38668,6797.177897,46258.80834,16522.1423,33847.81079,59626.61196,3555.973688,19811.62472,17326.74195,47365.58177,24738.3221,22746.19351,49384.71975,94373.71277,97289.63438,4218.783244,21705.46259,52493.98832,66772.17455,89970.0523,84018.09816,114597.8694,86880.04469,69385.78632,75821.45283,73401.83781,63818.27608,78053.26062,138569.1068,72499.35582,65709.41488,62783.22165,65851.30052,76762.8799,63398.03936,67518.43638,84998.83046,88592.38383,57799.87883,50459.42861,58729.51602,67469.12332,78005.70254,52227.53697,50686.36443,56162.19505,68617.53385,46141.70809,56313.61627,42936.47041,58584.07666,50522.70047,58932.87305,62672.19631,104636.31,67453.69697,39227.24115,44394.97363,43473.48849,37625.67957,26223.41204,38094.93877
GREATER HOBBY AREA,51679.02723,37677.06819,43090.29772,31711.75116,65405.80636,96145.07833,0,4674.00907,111678.4985,53642.28531,44692.97146,37190.53437,41207.98228,45077.83645,67037.34036,58534.35877,56317.91299,5267.180764,53689.37639,75414.60147,98365.9081,55597.03994,90132.86233,64058.26118,58420.28031,90218.44084,70738.90069,75871.87195,60120.42902,107430.3582,67977.64364,64411.25776,85633.15533,74085.47713,95867.65161,75902.55746,133027.9299,107108.2695,110014.1534,140523.3233,110597.3045,96715.92491,109638.9203,69509.95367,80424.00814,55236.63494,64892.9112,6955.990705,13586.33579,66514.13968,32333.85084,18657.88257,86516.56175,21707.49102,32688.12548,56376.57281,47996.25924,67728.9434,37980.41894,12851.06991,34286.83714,24497.86143,15939.48484,9707.309824,40157.03756,64205.86014,31024.44072,21516.87933,25737.05038,46058.93675,86306.3962,42700.57748,26996.48827,53144.43392,32256.5541,69320.47647,34475.98486,45105.87752,46518.45854,54995.36007,8391.996062,30665.13949,56007.31595,88969.53044,48118.05597,91623.05216,92988.985,113056.6875
GOLFCREST / BELLFORT / REVEILLE,35872.94143,21557.74274,27016.09766,19457.23857,53314.746,80410.47935,4674.00907,0,102962.0809,37712.52149,28543.86575,22328.65728,27157.00883,34900.04232,51434.35502,41749.19981,40740.55609,9067.181199,37313.58506,60813.7288,84528.61281,41741.87638,76127.00186,52598.29262,43527.51576,74995.85271,54364.9524,59383.62667,45135.29794,93141.15817,51919.3527,50981.37572,68893.79808,57348.30881,79514.2183,60895.6884,117079.8225,90557.63373,94953.65404,127684.8579,100112.7729,81660.40874,95491.4738,60203.51175,73282.09154,55517.97709,61103.13597,18182.06352,12774.95116,61138.92938,31765.84521,12978.18346,79889.54364,7754.569332,44508.80765,50156.71203,39048.50749,59536.22895,28339.9306,4442.453746,23817.33962,9793.862646,5591.025795,5508.427098,27780.19601,52972.904,15205.38815,5693.709789,13245.9079,32600.50613,76201.81172,28809.04687,11093.97885,39477.75964,16343.73143,58556.21941,18216.73469,29832.26628,35323.3161,45917.39777,13477.88661,16389.98524,41746.5941,77988.26601,33437.49776,80261.97216,80293.03242,100806.116
ELDRIDGE / WEST OAKS,81939.30254,93527.75699,85521.88124,115254.475,43587.35532,61456.19576,111678.4985,102962.0809,0,60096.21917,93550.38699,102866.9913,113637.7671,120410.9292,61873.41098,68078.4902,95033.49534,103489.3664,87460.59011,48948.26741,35511.96899,116969.4704,41225.11882,133132.4468,114322.1511,50383.16331,78349.93388,59310.94519,100755.9855,43399.52326,95568.61289,116844.5578,67972.91072,82073.09742,86479.81928,107649.0102,75677.30775,91174.75494,114602.4001,159735.1305,157246.2183,46183.9396,38293.86164,29954.41913,34210.85786,63326.53239,59584.06244,127646.0309,92548.24236,42153.82925,63329.49589,86883.68895,16286.65234,108324.5124,158743.2504,55151.62976,63742.70104,42015.32821,71999.70378,94307.80984,74978.62394,86734.58396,114554.1005,119898.1227,75794.98958,47437.58618,83449.83423,97392.72892,112764.3703,71766.52625,17446.08452,80808.81453,100528.7768,58748.1559,84969.97377,33103.1185,92686.51914,81609.62623,64129.78899,51581.3699,129326.4222,104613.5997,58669.55882,12082.31061,73979.2757,8263.344023,18106.88538,11776.19553
WASHINGTON AVENUE COALITION / MEMORIAL PARK,6957.818214,17750.46861,10436.56682,39864.71497,5601.306248,29242.34464,53642.28531,37712.52149,60096.21917,0,17288.21677,27372.17982,37262.87549,44116.543,4118.463294,4153.344527,19593.70989,52957.04645,11579.22279,7369.691005,30823.71183,41083.13363,22419.01353,57332.21112,38384.79239,22203.66229,15812.28754,13530.81725,26952.10095,39050.90595,23450.30206,43141.07834,24398.91273,23635.6795,37397.82915,38131.00909,66441.96809,53054.37343,67734.06248,108279.0907,92618.77118,28120.02071,41452.1774,27271.04636,45547.05293,59614.35436,52694.48281,71570.05337,46298.59434,41610.62213,42024.01925,34633.38034,46756.14481,38594.89413,95536.46755,38939.76241,30715.16483,33769.7023,29384.31257,35598.37156,24513.58997,26864.09408,45666.44401,50706.59586,17998.574,18097.74032,17866.78456,26051.60137,40518.7487,13621.55858,35140.37439,15572.15699,29661.97594,9641.760193,15958.65798,18524.6415,20043.42947,9762.708405,22691.21826,29754.0157,64646.7515,31065.21935,3248.964222,34241.055,4536.299381,33349.28211,30189.20608,50797.30682
