,FOURTH WARD,SECOND WARD,DOWNTOWN,CLINTON PARK TRI-COMMUNITY,GREATER UPTOWN,GREATER INWOOD,GREATER HOBBY AREA,GOLFCREST / BELLFORT / REVEILLE,ELDRIDGE / WEST OAKS,WASHINGTON AVENUE COALITION / MEMORIAL PARK,GREATER FIFTH WARD,DENVER HARBOR / PORT HOUSTON,PLEASANTVILLE AREA,NORTHSHORE,LAZYBROOK / TIMBERGROVE,GREATER HEIGHTS,KASHMERE GARDENS,MINNETEX,NEAR NORTHSIDE,SPRING BRANCH EAST,SPRING BRANCH NORTH,EL DORADO / OATES PRAIRIE,SPRING BRANCH CENTRAL,HUNTERWOOD,SETTEGAST,LANGWOOD,INDEPENDENCE HEIGHTS,CENTRAL NORTHWEST,TRINITY / HOUSTON GARDENS,CARVERDALE,EASTEX - JENSEN AREA,EAST HOUSTON,ACRES HOME,NORTHSIDE/NORTHLINE,HIDDEN VALLEY,EAST LITTLE YORK / HOMESTEAD,WILLOWBROOK,GREATER GREENSPOINT,IAH / AIRPORT AREA,KINGWOOD AREA,LAKE HOUSTON,FAIRBANKS / NORTHWEST CROSSING,WESTBRANCH,SHARPSTOWN,WESTWOOD,FORT BEND HOUSTON,FONDREN GARDENS,SOUTH BELT / ELLINGTON,SOUTH ACRES / CRESTMONT PARK,BRAYS OAKS,CENTRAL SOUTHWEST,SUNNYSIDE,ALIEF,PECAN PARK,CLEAR LAKE,WESTBURY,WILLOW MEADOWS / WILLOWBEND AREA,BRAEBURN,SOUTH MAIN,SOUTH PARK,ASTRODOME AREA,GREATER OST / SOUTH UNION,PARK PLACE,MEADOWBROOK / ALLENDALE,MEDICAL CENTER AREA,GULFTON,MACGREGOR,GULFGATE RIVERVIEW / PINE VALLEY,HARRISBURG / MANCHESTER,UNIVERSITY PLACE,WESTCHASE,MUSEUM PARK,LAWNDALE / WAYSIDE,GREENWAY / UPPER KIRBY AREA,GREATER THIRD WARD,MID WEST,GREATER EASTWOOD,MIDTOWN,BRAESWOOD,MEYERLAND AREA,EDGEBROOK AREA,MAGNOLIA PARK,AFTON OAKS / RIVER OAKS AREA,BRIAR FOREST,NEARTOWN - MONTROSE,MEMORIAL,SPRING BRANCH WEST,ADDICKS PARK TEN
FOURTH WARD,0,9544.880955,1734.800739,32591.39084,23972.45872,43821.59726,47548.32566,31669.77617,72990.58717,2842.691287,11046.93024,20996.04141,30027.16044,39326.9078,14693.71382,7561.946995,17444.6493,44803.09494,7725.248111,26320.60591,50002.86207,36783.8286,41398.9339,51581.27243,33142.49733,37774.26506,19627.35344,23630.16721,27048.24852,56715.76944,23912.01148,41140.07061,33747.60134,24254.78799,44412.63419,39921.5284,80333.10148,57243.15964,68036.38742,106700.5147,89712.68692,45166.15579,58760.20188,39896.06548,55887.73381,61120.63239,56098.28197,65105.92792,40392.2257,50037.14404,35746.89846,27788.90589,60549.0761,29475.68579,90318.86968,42326.89096,31913.76447,42385.78725,26219.47596,28202.10738,19725.04654,20053.61387,36448.50042,42776.8463,11843.24026,29197.06025,11970.37815,19563.00969,32143.12876,8950.184646,51222.37342,7357.763983,20293.63755,11139.26942,7328.019718,32967.5952,10573.53051,889.8837871,21807.95034,33642.65262,57515.41466,22228.90208,9261.972581,51847.00208,1497.503058,49462.9159,47926.96595,67523.29268
SECOND WARD,9544.880955,0,1200.435797,10053.26196,35442.67924,50823.23787,33884.33285,17727.54369,84602.67486,9839.190958,1311.670621,2360.017036,10111.00073,19288.69404,23949.27124,12860.81922,12735.642,35653.33509,6086.925118,36775.05261,60417.69563,20775.35064,51832.40048,34712.23499,19701.59041,47210.95138,23111.63914,30169.97774,19941.63955,67233.49276,20182.64782,28679.848,38940.5255,23862.96752,48300.83581,34322.89764,86800.02564,58789.42616,65082.47002,102051.049,76035.5705,53906.79783,69909.20785,51303.3571,66911.65942,66941.45503,64262.39981,49364.38131,36010.73429,59825.04766,39195.90887,26530.61747,72152.03829,12744.15117,71962.58795,50783.83342,39687.22168,52913.95574,31243.18799,20819.63795,22880.41921,14706.25806,19135.09829,23446.06636,17751.502,40745.45507,11361.1642,7844.524682,12071.94782,17449.38015,62973.08058,12747.49244,2969.45617,22598.13231,5552.911258,44714.90816,705.1009777,7236.133923,29957.83464,43088.92605,40126.97594,1089.770822,20901.80414,63447.23266,12493.86244,60933.85172,58919.84282,78285.19454
DOWNTOWN,1734.800739,1200.435797,0,23513.24044,27562.2619,45071.2422,38959.52188,22830.98902,76544.24901,3444.826342,2050.872911,11405.79829,21360.65117,29435.13457,17699.43337,7204.126233,10296.56973,37445.53404,1942.610502,29856.54932,53577.04563,26916.79314,44972.42063,42683.8464,24100.46211,40830.21291,17984.13983,24464.39973,19440.68909,60077.56052,17984.10346,32123.1885,33662.90838,20699.97327,43009.18308,32807.98954,81249.63167,55087.47555,62941.99803,100314.795,80771.33631,47895.98605,62224.18908,43470.75755,59393.64773,62903.12761,58796.69545,56260.5604,34977.94885,53230.41052,35453.11416,23712.67544,64164.98566,20464.88965,81179.46056,45078.17641,34377.58661,45750.94344,27103.68876,21656.30182,19089.57401,14632.65561,27484.17695,33497.65117,12470.16464,32808.28315,8576.96526,10488.74906,22724.6088,11172.10988,54859.69966,7174.380109,11510.76809,14659.70968,1549.579967,36628.254,1622.973066,1168.10893,24283.87084,36661.62416,48398.03138,12968.68623,12827.13397,55398.88818,4772.746426,53057.9814,51598.99802,71133.0889
CLINTON PARK TRI-COMMUNITY,32591.39084,10053.26196,23513.24044,0,58245.94264,70677.73968,28023.95719,16357.00556,106180.2925,31936.5392,14374.03632,1320.226954,740.3196088,4262.080196,45973.29977,33901.61301,15285.42029,35413.03171,26086.5141,58949.01027,82815.15516,9633.741374,74538.05817,19834.15011,14986.50827,68544.55791,41210.75128,50407.92097,17685.06701,89004.83213,29967.41875,17476.76395,57197.05179,38286.21166,62168.32549,31135.84812,104587.8258,68616.19512,62670.53772,93935.52367,62020.8841,75202.3007,92071.54565,71540.50571,87058.4785,78231.35622,80900.98637,38454.03402,39100.64563,78210.3439,50840.18367,34696.55808,92521.16104,8731.904317,55812.14514,68057.40163,56833.19993,72646.56361,46748.79649,25599.37463,38080.05037,23415.19095,8573.768195,8300.234374,36291.55692,61171.78054,24010.62811,15815.13462,1632.954131,37171.20165,84884.49889,33196.89895,8499.953241,44020.88873,21820.22687,65862.6515,14083.77271,28800.50909,48165.05042,61640.07167,28924.05715,3386.065037,43388.56625,85153.27476,34726.5477,82892.42898,81151.09259,100426.2047
GREATER UPTOWN,23972.45872,35442.67924,27562.2619,58245.94264,0,25872.68423,61225.79117,49349.5038,34854.39563,2261.180633,35352.53827,45965.94221,55359.08296,63918.57051,8810.60628,14842.63717,37189.27085,54442.13442,29523.74035,2132.358839,18899.40569,59795.40369,11053.52575,75234.71997,56301.08525,16026.66427,24165.08881,13716.84385,43722.37616,28409.88975,38711.44593,60315.45802,23993.99036,31574.13724,40478.09608,53236.19991,60390.08058,52931.80771,71246.1224,112746.4739,105818.8097,20401.47972,30288.46625,8983.103579,26591.34083,43711.70531,37495.68111,79149.31418,46248.39579,24633.98814,30794.3017,34520.58019,25316.46787,52258.53203,108050.3617,25817.15675,19701.39066,16731.63924,23593.81902,41648.00744,23139.09582,32248.29358,58557.59792,65058.77129,22808.4618,4127.477247,28000.15958,41532.89616,56673.42147,15498.34175,15618.14237,24436.02146,44357.62125,4316.704628,28642.27114,1237.516026,35351.81772,24421.70043,13504.98871,16220.2038,75672.35265,47624.07419,1732.805804,14784.7899,16253.13525,13081.78044,14521.91461,33691.81237
GREATER INWOOD,43821.59726,50823.23787,45071.2422,70677.73968,25872.68423,0,92051.50866,76278.21993,56175.06732,25574.82468,44823.06017,55034.75954,60439.46877,69446.02868,15587.97947,20871.36248,40707.05027,88556.99458,32454.16298,11636.6998,16751.91903,62824.7951,11781.6524,75820.91517,56981.84611,7509.09298,18145.51308,2492.650951,43641.08921,13976.34927,30679.06604,55690.63201,1033.571893,15512.42189,13322.38438,44493.55224,17377.41826,19877.197,43725.2901,85122.45138,87585.6095,1546.508974,19249.87636,49074.87988,63419.3935,86602.43741,79793.10852,109746.404,83622.15077,66222.05953,71598.7529,70149.27598,59067.80327,75129.37855,134056.0519,68299.08509,61673.92878,58527.32462,62273.64537,73662.32024,59962.06736,64417.56277,82101.60672,85788.48047,54655.15188,46325.03437,55692.73325,64073.95445,75170.30999,48794.22921,47387.11772,53095.99033,65735.29588,42239.0822,53361.47839,39752.58155,55675.7045,47534.62494,54970.29173,58422.96856,101879.002,64709.95904,35238.94705,41598.53622,40370.25113,33210.22073,23644.21967,31900.20517
GREATER HOBBY AREA,47548.32566,33884.33285,38959.52188,28023.95719,61225.79117,92051.50866,0,1581.936262,101777.3797,49950.35975,41176.56401,29916.41713,37736.09152,42876.67731,62880.11754,55085.30133,52830.68461,1795.641326,49703.03478,71212.56397,94198.26763,52103.97103,85952.5851,60464.0168,54990.39408,86058.28517,66783.15442,71958.26421,57158.93723,103273.9817,62515.90097,60136.42644,82119.9792,67752.18643,91884.86003,72507.2777,128931.5866,102676.0817,104038.8197,136550.1642,101746.1925,92564.39746,105458.7969,65522.41858,76705.59059,50088.55314,61515.22332,2430.027742,9880.653744,63040.29519,27746.30428,14409.94182,82919.73662,18108.39546,29325.87937,52738.90558,43922.27025,63856.26017,33884.17982,8389.061921,30051.30271,20293.91247,12093.93576,6235.05062,35879.92262,60232.20615,26899.9061,17831.97837,22010.67591,41954.01096,82293.24571,38442.40327,23175.74689,48909.17226,28738.97858,65179.89414,30418.13917,40909.023,42347.35376,50927.92963,2980.580411,27175.62296,51785.94865,84887.1298,43876.60458,85970.94897,88401.9998,107229.5855
GOLFCREST / BELLFORT / REVEILLE,31669.77617,17727.54369,22830.98902,16357.00556,49349.5038,76278.21993,1581.936262,0,93267.84381,33391.99085,25033.58161,16281.35121,23938.32682,32484.352,47235.54587,38240.18761,37147.4626,3998.019036,33334.10671,56573.10368,80328.30914,38611.76474,71907.9827,49785.43607,40175.4747,70795.25888,50390.66676,55395.04062,42449.199,88936.77681,46289.98429,46892.64244,65293.69681,51026.39715,75552.68109,57382.90584,112983.3751,85979.98598,89126.2674,123057.8574,91107.9486,77496.08252,91290.86582,56934.7553,70330.62775,50687.3574,58230.54197,13743.39253,9246.248582,58292.26307,26249.50135,10040.58043,76958.29781,4460.811505,38985.77352,47282.61399,36272.30536,56487.24744,25110.64333,1664.899972,20361.73722,5349.826265,2459.337273,1941.187674,23844.6022,49053.94402,10877.28331,1992.287868,10270.47482,28407.99906,72667.94166,24524.87554,7528.99918,35240.19775,12053.56002,53894.09876,14124.92681,25562.46217,31673.41135,42874.78866,7943.963626,13107.98833,37467.10962,74234.99289,29149.39475,74147.3374,75412.76922,94833.92303
ELDRIDGE / WEST OAKS,72990.58717,84602.67486,76544.24901,106180.2925,34854.39563,56175.06732,101777.3797,93267.84381,0,51385.3377,84818.24552,93838.7771,104948.5003,111868.2308,54317.94871,60628.99043,86714.56813,93206.78612,79166.45176,41803.18477,30085.874,108609.396,33951.84125,124852.9929,105908.6121,44137.5355,70930.29709,53389.91154,92761.75054,38211.10942,87669.40631,108987.0896,61729.12306,75336.53773,80725.57598,100220.7436,70004.42319,85811.78619,109069.6526,150615.5744,149625.8412,40872.49566,32702.27805,20022.30737,23536.09917,53269.5092,49520.52872,117678.3476,82227.798,32300.36023,52711.03306,77083.08695,7229.232331,98854.24517,148635.4301,44589.12495,53688.15282,31495.71169,61717.3917,84501.10511,65223.71131,76950.24283,105014.0175,110247.3758,66115.80455,37771.73756,73769.03219,88109.14674,103324.5241,62408.9328,7949.293562,71331.86311,91173.85621,49346.63368,75680.97028,23926.12456,83569.59096,72361.13934,54480.08736,41312.68026,119480.5437,95402.19465,49324.49704,4687.426384,64766.48591,2866.095194,11132.52999,5976.826767
WASHINGTON AVENUE COALITION / MEMORIAL PARK,2842.691287,9839.190958,3444.826342,31936.5392,2261.180633,25574.82468,49950.35975,33391.99085,51385.3377,0,9178.46284,19509.97197,29198.23502,36199.1037,1555.414172,1340.403185,13062.9156,47439.61281,4136.882201,3159.732745,26799.47173,33509.9792,18395.27286,49667.72454,30760.24009,18188.16741,14008.74674,10788.27204,21766.13509,34920.74989,18149.42813,36693.57045,21767.87589,18307.91093,35087.20686,34351.74022,62772.85894,48207.19943,62035.46721,100752.8176,84948.35839,23987.20968,37339.1936,23433.55013,41546.0742,56211.11032,49324.71457,66847.46085,43987.38079,38101.69637,36721.51019,31375,41749.32568,32596.89666,91133.56292,35798.10849,27764.89697,29965.78522,26767.08129,32688.10427,22925.3794,24402.0359,39603.94,44004.94709,15854.58967,14427.42476,15464.36363,20983.95956,33554.03579,11906.71546,31376.08173,12972.25222,23560.43489,7305.578517,10980.18162,14395.84634,13334.85394,6076.205445,20358.40512,26766.62671,59058.05563,23950.32651,1037.053931,30042.51544,2139.101853,27143.83972,25087.26859,44427.34795
